Specialist Task,Specialist Cluster,Cluster Family,Skill Statement
Perform animal breeding and birthing procedures,"Treat animal injuries or illnesses, perform breeding procedures",Agriculture and animals,"Safely handle and support animals to conceive via natural or artificial methods and to give birth. Use knowledge of animal behaviour and physiology to determine optimum time for breeding and indications of labour. Use appropriate equipment and methods to support successful reproduction, ensuring compliance with animal welfare standards, biosecurity requirements and work health and safety standards."
Treat animal injuries or illnesses,"Treat animal injuries or illnesses, perform breeding procedures",Agriculture and animals,"Provide health care to sick or injured animals. Determine the health concern as indicated by abnormalities including in behaviour, gait or appearance or via the use of diagnostic tests. Separate sick or injured animal from healthy animals. Use appropriate equipment, treatments, and methods to treat illness or injury, ensuring compliance with animal welfare standards, biosecurity requirements and work health and safety standards."
Treat skin cuts,"Treat animal injuries or illnesses, perform breeding procedures",Agriculture and animals,"Provide first aid to animals who sustain minor cuts to their skin, such as those resulting from the removal of wool or fur. Treatment may include application of antiseptic solution, ointments, and protective dressings. Use appropriate restraints as necessary to ensure physical safety. Ensure compliance with animal welfare standards, biosecurity requirements and work health and safety standards."
Treat facilities to eliminate pests,Treat facilities to eliminate pests,Agriculture and animals,"Manage or eliminate pests in indoor and outdoor settings using mechanical and/or chemical methods. Identify the pest and the degree of infestation, select and apply appropriate pest control methods and procedures in suitable locations. Ensure compliance with environmental and safety requirements and wear appropriate personal protective equipment."
"Assess characteristics of wool, fleece, hair or hide",Undertake agricultural or forestry operations,Agriculture and animals,"Examine evaluate wool, fleece, fibre and hides based on characteristics such as dimension, colour, durability, density, fibre length, softness, uniformity, and texture to help determine quality, their suitability for, or best application. Apply industry standard assessments, techniques, classifications, tools and equipment."
Determine forestry techniques or methods,Undertake agricultural or forestry operations,Agriculture and animals,"Understand, evaluate and select the most suitable methods, techniques and equipment for forestry or land management operations, and to support the long term viability and wellbeing of forested areas. Consider factors such as environmental conditions, ecosystem dynamics, species of plants and animals present, terrain, and sustainability."
Employ appropriate wool or fleece handling techniques,Undertake agricultural or forestry operations,Agriculture and animals,"Apply industry standards to the handling of animal fibres to preserve quality and facilitate processing. Follow best practices in shearing, sorting, grading, processing, and packaging to maintain fibre integrity and optimise market value. Adhere to industry standards for hygiene, animal welfare, and quality assurance. Remove debris and prevent contamination of fibres with impurities."
Grade or classify agricultural produce,Undertake agricultural or forestry operations,Agriculture and animals,"Assess agricultural produce for the purposes of grading or classifying it on the basis of factors such as its size, appearance, texture, weight, density, colour, test results and overall quality. This may involve the use of sensory evaluation, measurement, or testing. Use knowledge of agricultural products, established industry standards and relevant equipment to make assessments for the purposes of product identification, marketing, pricing and distribution."
Load agricultural or forestry products for shipment,Undertake agricultural or forestry operations,Agriculture and animals,"Load and unload agricultural and forestry products onto trucks, trailers or other transportation modes for shipment, either manually or by using equipment such as hoists, restraints, cranes, forklifts and pallet jacks. Correctly handle products to minimise damage and maintain quality, and effectively use available space. This may include taking into account loading density, weight capacity, safe work procedures and any special cargo, goods, biosecurity or shipment requirements or regulations."
"Maintain forestry, hunting or agricultural equipment",Undertake agricultural or forestry operations,Agriculture and animals,"Maintain equipment used for forestry, hunting or agricultural activities to optimise performance of equipment and ensure safety. Use tools and supplies to remove and replace parts, clean, adjust, sharpen, and repair equipment as required. Dispose of waste and equipment that is no longer suitable for use. Follow manufacturer guidelines and instructions. Manage risks and hazards to safety through appropriate application of work health and safety guidelines, such as wearing personal protective clothing and equipment."
Mark agricultural or forestry products for identification,Undertake agricultural or forestry operations,Agriculture and animals,"Mark agricultural or forestry products with identifying information, for example, labels, tags, stamps, warning signs or engravings. Identification may include, for example, name of the product or material, product grade, batch or harvest date, storage or shipping locations, style, size, colours, handling or safety information, or batch codes. Ensure the marking is clear, consistent, durable and aligns with workplace specifications and other requirements."
Measure physical characteristics of forestry or agricultural products,Undertake agricultural or forestry operations,Agriculture and animals,"Use techniques and tools to measure the physical characteristics of forestry or agricultural products. This could include the size, density, weight or volume of plant and animal products. Record data for quality control, processing, inventory management, or research purposes as required."
"Operate forestry, hunting or agricultural equipment",Undertake agricultural or forestry operations,Agriculture and animals,"Operate forestry, hunting, or agricultural equipment such as chainsaws, rollers, pole saws, harvesters, tractors, sprayers, irrigation systems, trail cameras, or game callers to facilitate work tasks. Operate equipment in accordance with workplace policies and manufacturer’s instructions. Adhere to workplace health and safety guidelines. Draw on best practice forest management practices when using equipment to maximise productivity and minimise environmental impacts."
"Plan the felling, removal or trimming of trees and branches",Undertake agricultural or forestry operations,Agriculture and animals,"Plan or schedule the felling, removal, or trimming of trees or branches in order to address any potential safety hazards, minimise the adverse impact of work activities on the surrounding environment, or to enhance or preserve tree health. Consider factors such as wind speed and direction, direction of falling branches or trees, council regulations, proximity to structures or infrastructure, appropriate personal protective equipment, impact on wildlife habitats, noise restrictions and health or protection status of vegetation prior to removal. This may involve utilising knowledge of plant science in order to determine best outcomes for the tree."
Record agricultural or forestry inventory data,Undertake agricultural or forestry operations,Agriculture and animals,"Accurately record agricultural or forestry inventory data in accordance with workplace systems and processes. Identify and capture relevant information accurately and systemically to support operations, reporting, or analysis. This may include the use of industry-specific technical equipment or software and may include keeping accurate records of current stock levels and any changes, conducting monitoring, audits or counts, estimating or calculating demand, and ensuring items are in safe, usable condition."
"Select or maintain hair, wool or fur cutting equipment",Undertake agricultural or forestry operations,Agriculture and animals,"Select suitable tools or equipment such as clippers, shears, or razors to remove hair, fur or wool from animals. Utilise knowledge of fibre characteristics and cutting equipment and techniques to inform choices. Ensure equipment is maintained, clean and sharp. Comply with work health and safety guidelines when handling and using tools and equipment."
Sort forestry or agricultural materials or products,Undertake agricultural or forestry operations,Agriculture and animals,"Handle and sort forestry or agricultural materials or products such as hides, fleeces, flowers or grain on the basis of relevant criteria, such as the type, size, length, colour, density or intended use of products. Arrange materials for storage, processing, distribution, or sale according to established guidelines or standards, and take care to prevent damage. Apply correct manual handling techniques, wear suitable personal protective equipment, and align with biosecurity and food safety standards."
"Attach identification information to objects, packages or containers",Label products and materials,"Archiving, recording, and translating","Attach identifying information to products, items, packages or containers in order to facilitate their storage, retrieval, use, handling or transportation. This could include affixing labels or stickers, stamping or otherwise directly marking, or attaching tags."
"Translate information using spoken, written or sign languages",Translate information,"Archiving, recording, and translating","Translate verbal or written material in real-time or after the fact into specified languages, while maintaining the original intent, meaning, and context of the content. This could include translation through sign languages such as Auslan, orally into other spoken languages, or written translations including braille."
Compile specialised bibliographies or lists of materials,Undertake library activities,"Archiving, recording, and translating","Compile lists of materials or sources, for example articles, audio-visual materials, or publications, on specialised subjects of interest."
Develop library or archival databases,Undertake library activities,"Archiving, recording, and translating","Develop and maintain library or archival databases in order to catalogue and keep records of bibliographic information, publications, resources, objects, and digital or online information."
Evaluate scholarly materials,Undertake library activities,"Archiving, recording, and translating","Review books, articles, papers, manuscripts, grant proposals or other written material against agreed scientific or other technical standards in order to assess the quality of the material for publication, submission or use as source material."
Help patrons use library or archival resources,Undertake library activities,"Archiving, recording, and translating","Assist visitors to access and use library or archival resources, including computers and software programs, physical or digital bibliographic and archival tools or databases, books, journals, multimedia, and electronic resources."
Process library materials,Undertake library activities,"Archiving, recording, and translating","Acquire, classify, catalogue, shelve and file library materials so they can be used, borrowed, returned, and located by visitors. Process loans, reservations, renewals and returns of materials through the system to keep track of the location of items."
Audition for roles,Audition,Art and entertainment,"Demonstrate relevant artistic skills for a selection panel or individual at a casting call, audition, or to camera."
Choreograph dances,Choreograph or perform creative performances,Art and entertainment,"Create dances considering elements such as pattern, formation, placement, technical ability of dancers, performance space, style and artistic direction."
Entertain public with performances,Choreograph or perform creative performances,Art and entertainment,"Entertain an audience with creative or artistic performance such as circus arts, magic and illusion, or comedy."
Perform dances,Choreograph or perform creative performances,Art and entertainment,"Perform dance for an audience taking into account the artistic direction of the project, audience or camera perspective, lighting and stage setup and the position of other performers."
Collaborate with others to prepare or perform artistic productions,Create or manage artistic productions,Art and entertainment,Work with others to ensure that the development or performance of an artistic production aligns with the intended creative or artistic direction.
"Compile, screen, and manage content for radio or television broadcasts or presentations",Create or manage artistic productions,Art and entertainment,"Manage radio or television content for broadcast including assessing the suitability of content in relation to law, broadcast standards and alignment with channel, program, show or company brand and direction."
"Conduct orchestras, choirs or other musical performers",Create or manage artistic productions,Art and entertainment,"Direct and coordinate musical performances by interpreting music and factors such as tempos, articulation, phrasing, and repetition, and relaying the artistic vision to performers. This may involve setting tempos, assigning parts, and providing cues to musicians using hand gestures, batons, facial expressions, or verbal instruction to prompt the entry of instrumental parts in orchestras or choirs and guide factors such as tempo or volume."
Coordinate rehearsals or performances,Create or manage artistic productions,Art and entertainment,"Plan, schedule and direct rehearsals and live or recorded performances including communicating desired artistic direction and directing technical performance aspects."
Create television or radio production schedule,Create or manage artistic productions,Art and entertainment,Plan and schedule the production of content for radio or television broadcasts including allocating staff and other resources and ensuring production is delivered on time and within budget.
Develop ideas for entertainment programs and features,Create or manage artistic productions,Art and entertainment,"Come up with and develop ideas for entertainment programs, shows, and features, considering intended audience, channel, program, show or company brand and direction, and available resources."
Manage operations of artistic or entertainment departments or organisations,Create or manage artistic productions,Art and entertainment,"Manage some or all of the operational aspects of an artistic or entertainment department or organisation, including human resourcing, scheduling, finance, marketing and planning."
"Provide creative leadership to ensure production has desired effect, mood or style",Create or manage artistic productions,Art and entertainment,"Oversee the artistic direction of a production and effectively communicate this to creative and technical staff to ensure aspects such as costuming, lighting, design and performance align with creative vision."
Review production information to determine costume or makeup requirements,Create or manage artistic productions,Art and entertainment,"Determine costume or makeup requirements by reviewing and considering information such as artistic or creative direction, scripts, and other production information."
Select materials or props,Create or manage artistic productions,Art and entertainment,"Choose materials or items to enhance or facilitate a visual display or performance. Consider factors such as required functionality, desired creative direction, mood, or style, and refer to scripts, work specifications, or other instructions to guide work."
Study scripts to determine project requirements,Create or manage artistic productions,Art and entertainment,"Read scripts to determine project requirements such as required performers or personnel; location, set, prop and other visual design elements; music or sound elements."
Write material for artistic or entertainment purposes,Create or manage artistic productions,Art and entertainment,"Compose original or adapted material for publication or performance - for example fiction or non-fiction stories, poetry, prose, outlines, scripts, lyrics, or comedy."
Adjust tuning or functioning of musical instruments,Create or perform music,Art and entertainment,"Evaluate the tone, sound and functioning of a musical instrument using hand or electronic tuners and make adjustments or repairs to achieve proper functionality. Tasks could include adjusting string tensions and replacing, repairing, or shaping parts or components."
"Create musical compositions, arrangements or scores",Create or perform music,Art and entertainment,"Create musical and tonal structures considering elements of musical theory such as harmonic structures, rhythms, tempos, and tone balances to achieve desired effect. May include transcribing and adapting compositions."
Perform for recordings,Create or perform music,Art and entertainment,"Speak, sing, act or perform for recording or later broadcast, taking into account required projection, tone and artistic direction of the project."
Play musical instruments for performances or demonstrations,Create or perform music,Art and entertainment,"Play chords, notes, melodies, or rhythms on musical instruments in order to perform for audiences, rehearsals and recordings or demonstrate how to play or use instruments for customers or students. Account for the required projection, tone, and artistic direction of the project. It may be appropriate to play in time to a metronome, read from sheet music or tabs, coordinate with other musicians, or provide prompts to musicians learning their parts."
Study details of musical compositions,Create or perform music,Art and entertainment,"Study details of musical compositions or arrangements to become familiar with factors such as the detail, order, and timing in order to perform, interpret or alter them."
Apply decorative colouring to photographs or printed materials,Produce artistic or design concepts or displays,Art and entertainment,"Apply decorative colouring (such as paint, glaze, or varnish) to photographs or printed materials using airbrushes, pens, paintbrushes, cotton swabs, fingers or drafting instruments in order to fix blemishes, make improvements or craft creative pieces according to desired outcomes, designs or client requirements."
"Apply finishes to artwork, crafts, or displays",Produce artistic or design concepts or displays,Art and entertainment,"Apply protective or decorative finishes (such as resin, varnish, sealer, paint, powder coat or lacquer) onto artwork, crafts, photographs or displays."
"Arrange artwork, products or props",Produce artistic or design concepts or displays,Art and entertainment,"Place items in a manner that is visually appealing or that highlights or demonstrates their utility, beauty, or characteristics."
"Construct distinctive physical objects for artistic, functional or commercial purposes",Produce artistic or design concepts or displays,Art and entertainment,"Create functional or artistic physical objects, for use, display, or sale. Utilise design principles, artistic techniques, or follow design plans, blueprints, specifications, or other work instructions to construct objects with desired characteristics, functionality, or aesthetics. Select project materials, tools and equipment in accordance with desired outcomes."
"Develop artistic or design concepts for decoration, exhibition, performance or commercial purposes",Produce artistic or design concepts or displays,Art and entertainment,"Develop the creative vision or direction for a project, and/or concepts that align with it - for example, interfaces for multimedia products; interior environments; the look of product lines; displays or exhibits."
Review art or design materials,Produce artistic or design concepts or displays,Art and entertainment,"Review art or design materials to confirm they align to specifications, standards, requirements, or artistic direction. Request revisions or select the best work."
Administer compensation or benefits programs,Administer insurance or compensation programs,Business operations and financial activities,"Administer compensation or benefits programs, including establishing eligibility according to relevant policy, procedures, protocols, and legislation; determining entitlements and allowances; granting payments or benefits in accordance with procedures; making adjustments, fulfilling administrative obligations, and actioning breaches, suspensions, and restorations."
Arrange insurance coverage,Administer insurance or compensation programs,Business operations and financial activities,"Coordinate and secure appropriate insurance coverage for individuals, businesses, or organisations based on their needs and risk profiles. Evaluate various insurance products, consult with insurers and customers to obtain required information, and ensure that coverage is adequate, cost-effective, and compliant with relevant regulations."
